1,0,2,-2,36,2
2,2,2,2,20,2
3,4,2,6,15,2
4,6,2,10,18,2
5,8,2,14,18,2
6,10,2,18,1,2
7,12,2,22,13,2
8,12,4,20,25,2
9,14,4,24,15,2
10,14,6,22,32,2
11,14,8,20,33,2
12,16,8,24,5,2
13,18,8,28,22,2
14,20,8,32,6,2
15,22,8,36,4,2
16,22,10,34,36,2
17,24,10,38,15,2
18,26,10,42,24,2
19,26,12,40,31,2
20,26,14,38,31,2
21,28,14,42,11,2
22,28,16,40,28,2
23,30,16,44,3,2
24,32,16,48,17,2
25,34,16,52,5,2
26,36,16,56,6,2
27,38,16,60,6,2
28,40,16,64,19,2
29,40,18,62,30,2
30,42,18,66,16,2
31,44,18,70,6,2
32,44,20,68,33,2
33,46,20,72,15,2
34,48,20,76,5,2
35,50,20,80,22,2
36,52,20,84,1,2
37,54,20,88,16,2
38,56,20,92,5,2
39,58,20,96,9,2
40,60,20,100,7,2
41,62,20,104,24,2
42,62,22,102,33,2
43,64,22,106,18,2
44,66,22,110,16,2
45,68,22,114,17,2
46,70,22,118,11,2
47,72,22,122,14,2
48,74,22,126,24,2
49,76,22,130,18,2
50,78,22,134,17,2
51,80,22,138,22,2
52,82,22,142,20,2
53,84,22,146,16,2
54,84,24,144,33,2
55,86,24,148,11,2
56,88,24,152,13,2
57,90,24,156,13,2
58,92,24,160,15,2
59,92,26,158,25,2
60,92,28,156,35,2
61,92,30,154,32,2
62,94,30,158,9,2
63,94,32,156,36,2
64,96,32,160,23,2
65,98,32,164,4,2
66,100,32,168,10,2
67,100,34,166,27,2
68,102,34,170,12,2
69,104,34,174,6,2
70,104,36,172,26,2
71,104,38,170,26,2
72,106,38,174,23,2
73,108,38,178,5,2
74,110,38,182,19,2
75,112,38,186,12,2
76,114,38,190,17,2
77,114,40,188,25,2
78,114,42,186,0,2
79,116,42,190,3,2
80,118,42,194,11,2
81,118,44,192,32,2
82,118,46,190,-1,2
83,118,48,188,33,2
84,120,48,192,20,2
85,122,48,196,13,2
86,124,48,200,19,2
87,126,48,204,20,2
88,128,48,208,1,2
89,128,50,206,36,2
90,130,50,210,6,2
91,132,50,214,10,2
92,134,50,218,8,2
93,136,50,222,11,2
94,138,50,226,17,2
95,138,52,224,32,2
96,138,54,222,-1,2
97,138,56,220,29,2
98,140,56,224,3,2
99,140,58,222,29,2
100,142,58,226,14,2
